#######################
## Query Specifications
#######################
## TribPit Version = 1.1.22 or later
## Tag List Upload File = tag_list_EFPTRP_2015_2019.csv
## Species = 3
## Release Group Start Date = 2015-03-13
## Release Group End Date = 2019-06-05
## TagIDs Released = 3136
## Detection Date Note = Detection Date/Time is last detection at an interrogation site as determined by DART.
## Exclusions = Fish tagged as adults as determined by DART are excluded from the TribPit Observations File.
##     This determination is based on a combination of 1. tagging flags 2. length at tagging 3. capture method.
## LastDataDate = Last Possible Data Date 09/28/2025
## Generated = 29 Sep 2025 11:41:40 PDT
## Source = Columbia River DART. Data Courtesy of Pacific States Marine Fisheries Commission.
#######################


#RelGrpStartDate,RelGrpEndDate,TagID,SpRRT,RelVTime,Lgth,BrdYear,TagFile,MigrYear,TagDate,CoordID,RelSite,RiverKM,CaptureMeth,SessionMessage,ObsDateLast,ObsSite,ObsMonitor,ObsStage

2015-03-13,2019-06-05,3DD.003BC9E1C1 ,32W,2017-05-03 13:00:00,156,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-21 12:26:24,TWX,MATRIX TRAWL [CURRENT],J
2015-03-13,2019-06-05,3DD.003BC9E1C2 ,32W,2017-05-03 13:00:00,105,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1C3 ,32W,2017-05-04 13:55:00,94,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1C4 ,32W,2017-05-04 13:55:00,97,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1C5 ,32W,2017-05-03 13:00:00,133,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-19 08:28:47,GRJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E1C7 ,32W,2017-05-04 13:55:00,87,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1C8 ,32W,2017-05-04 13:55:00,106,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1C9 ,32W,2017-05-04 13:55:00,132,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-21 21:17:23,GOJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E1C9 ,32W,2017-05-04 13:55:00,132,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-23 11:36:29,LMJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E1CC ,32W,2017-05-04 13:55:00,93,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
